Subject,Mask,Model,a2,b1,b2,sigma,w1,w_v,w_avg,a2_s,b1_s,b2_s,sigma_s,w1_s,w_v_s,w_avg_s,b1+b2,b1+b2_s,Adjusted R2,bic,bic_rel
109,dmPFC,Null,12.43930731163836,0.0,0.0,1.0,0.0,0.0,0.0,0.4230308701792232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041136599133797525,1904974.5931128678,0.0
109,vmPFC,Absolute,8.854254130020022,3.090152843903418,0.0,1.0,0.0,0.0,0.0,0.2868791080962932,0.060255851941592366,0.0,0.0,0.0,0.0,0.0,3.090152843903418,0.060255851941592366,0.017008248936551174,1742861.6467024777,-2601.4011473308783
109,OFCmed,Absolute,9.04916174669379,3.286439082638989,0.0,1.0,0.0,0.0,0.0,0.2752444966325926,0.057812127712931614,0.0,0.0,0.0,0.0,0.0,3.286439082638989,0.057812127712931614,0.020402404471177693,1725581.5646215526,-3194.615094229346
109,dmPFC,Absolute,12.233523507335024,4.460343163331036,0.0,1.0,0.0,0.0,0.0,0.42049001416452814,0.08831937675347389,0.0,0.0,0.0,0.0,0.0,4.460343163331036,0.08831937675347389,0.016133342442821164,1902451.7575090511,-2522.8356038166676
109,vmPFC,Relative,6.536181922583884,6.0141568747997045,-2.885666494650391,1.0,0.0,0.0,0.0,0.29557863561174347,0.09009073816215232,0.06451747894310061,0.0,0.0,0.0,0.0,3.1284903801493136,0.05647822863118754,0.026082475633990465,1740937.4728927447,-4525.574957063887
109,OFCmed,Relative,6.418702892889902,6.514821979457428,-3.204381231278755,1.0,0.0,0.0,0.0,0.283179355172628,0.08631150585401957,0.06181102380910238,0.0,0.0,0.0,0.0,3.3104407481786726,0.054109013430919395,0.03226227847634788,1723050.7963820589,-5725.383333723061
109,dmPFC,Relative,9.217188379341996,8.398978308076318,-3.8857096460552136,1.0,0.0,0.0,0.0,0.43353389419770816,0.13213874016081859,0.09462968735791843,0.0,0.0,0.0,0.0,4.513268662021105,0.08283828204993947,0.023898334159563217,1900809.4157306508,-4165.177382217022
110,vmPFC,Null,18.36528246990136,0.0,0.0,1.0,0.0,0.0,0.0,0.22036638058842029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023614640362661032,2336853.579871208,0.0
110,OFCmed,Null,16.819052049887414,0.0,0.0,1.0,0.0,0.0,0.0,0.171325134210796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03247511075180354,2192330.76360496,0.0
110,dmPFC,Null,21.45518809852888,0.0,0.0,1.0,0.0,0.0,0.0,0.24207937501827823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026632705757789754,2390806.2015053034,0.0
